Altium Designer Pick and Place Locations
C:\Users\matej\Documents\Projects\HoverGate-V2\Project Outputs for Free Documents\Pick Place\Pick Place for HoverGate-V2-pcb.csv

========================================================================================================================
File Design Information:

Date:       30/01/24
Time:       16:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP14","test point 1.5mm","TopLayer","TP1_FULL","3.2000","-23.5000","90","Test point ,1.5mm diameter, no hole"
"TP13","test point 1.5mm","BottomLayer","TP1_FULL","-14.3250","-15.6750","90","Test point ,1.5mm diameter, no hole"
"TP12","test point 1.5mm","BottomLayer","TP1_FULL","12.6000","-5.5000","90","Test point ,1.5mm diameter, no hole"
"TP11","test point 1.5mm","TopLayer","TP1_FULL","-17.3000","-47.5000","90","Test point ,1.5mm diameter, no hole"
"TP10","test point 1.5mm","BottomLayer","TP1_FULL","6.6750","-5.5000","90","Test point ,1.5mm diameter, no hole"
"TP9","test point 1.5mm","TopLayer","TP1_FULL","32.5000","-19.3000","90","Test point ,1.5mm diameter, no hole"
"TP8","test point 1.5mm","BottomLayer","TP1_FULL","-4.4000","-23.1000","90","Test point ,1.5mm diameter, no hole"
"TP7","test point 1.5mm","BottomLayer","TP1_FULL","-13.3000","-5.5000","90","Test point ,1.5mm diameter, no hole"
"TP6","test point 1.5mm","TopLayer","TP1_FULL","-9.3000","-51.7000","90","Test point ,1.5mm diameter, no hole"
"TP5","test point 1.5mm","TopLayer","TP1_FULL","-28.1250","-34.9000","90","Test point ,1.5mm diameter, no hole"
"TP4","test point 1.5mm","BottomLayer","TP1_FULL","-4.1750","-15.6750","90","Test point ,1.5mm diameter, no hole"
"TP3","test point 1.5mm","TopLayer","TP1_FULL","-30.6000","-38.1000","90","Test point ,1.5mm diameter, no hole"
"TP2","test point 1.5mm","BottomLayer","TP1_FULL","-23.9125","-36.1625","90","Test point ,1.5mm diameter, no hole"
"TP1","test point 1.5mm","TopLayer","TP1_FULL","22.9000","-8.5000","0","Test point ,1.5mm diameter, no hole"
"U4","ESP32-S3-WROOM-1-N8R2","TopLayer","XCVR_ESP32-S3-WROOM-1-N8R2","19.1000","-37.9400","180","WiFi 802.11a/b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz Antenna Not Included -"
"U3","MCP1402T-E/OT","TopLayer","SOT-23-OT5_L","6.3000","-24.5000","90","Tiny 500 mA, High-Speed Power MOSFET Driver, Non Inverting, Extended Temperature, Tape and Reel"
"U2","AZ1117CH-3.3TRG1","TopLayer","FP-SOT223-IPC_B","1.0000","-46.0000","0","IC REG LINEAR 3.3V 800MA SOT223"
"U1","DRV8323RHRGZT","TopLayer","FP-RGZ0048A-IPC_A","-19.0000","-36.8000","180","IC MTR DRV MULTIPHAS 6-60V 48QFN"
"SW2","TS-1187A-B-A-B","TopLayer","ESWI-TL3342F160QG_V","32.9000","-33.8000","0","XKB TS-1187A-B-A-B C318884"
"SW1","TS-1187A-B-A-B","TopLayer","ESWI-TL3342F160QG_V","32.5000","-22.8000","180","XKB TS-1187A-B-A-B C318884"
"R20","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","-1.1000","-14.4000","180",""
"R19","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","-1.1000","-11.3000","0",""
"R18","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","14.5000","-16.5000","180","RES SMD 47K OHM 1% 1/10W 0603"
"R17","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","14.6000","-17.9000","0",""
"R16","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","-1.1000","-19.0000","180",""
"R15","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","-1.1000","-15.9000","0",""
"R14","LR2512D-3W-3mR-1%","TopLayer","FPR_CRF2512_R0","-28.7000","-27.0000","0","2512 3mohm shunt"
"R13","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","-1.1000","-23.6000","180",""
"R12","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","-1.1000","-20.5000","0",""
"R11","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","33.4500","-40.6500","0",""
"R10","LR2512D-3W-3mR-1%","TopLayer","FPR_CRF2512_R0","-18.5000","-27.0000","0","2512 3mohm shunt"
"R9","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","-7.8000","-40.1000","315",""
"R8","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","-10.6000","-39.2000","135",""
"R7","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","-9.2000","-42.0000","225","RES SMD 47K OHM 1% 1/10W 0603"
"R6","LR2512D-3W-3mR-1%","TopLayer","FPR_CRF2512_R0","-8.3000","-26.9890","0","2512 3mohm shunt"
"R5","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","-25.8000","-34.9000","0","RES SMD 47K OHM 1% 1/10W 0603"
"R4","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","-25.8000","-36.2750","0","RES SMD 47K OHM 1% 1/10W 0603"
"R3","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","25.6000","-15.4750","90",""
"R2","0603WAF5101T5E","TopLayer","RESC1608X55X30NL15T15","24.1750","-15.4750","90",""
"R1","DNP","TopLayer","FP-RC0603FR-0747KL-MFG","-25.8000","-38.4750","0","RES SMD 47K OHM 1% 1/10W 0603"
"Q8","BM3402","TopLayer","FP-SOT23-IPC_B","14.6000","-13.6000","90","BORN BM3402 MOSFET N-CH 30V 5.1A SOT23"
"Q7","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","-26.7000","-20.8890","90","100V 95A 4.6mOhm N-channel mosfet"
"Q6","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","-26.7000","-13.4890","90","100V 95A 4.6mOhm N-channel mosfet"
"Q5","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","-16.5000","-20.8890","90","100V 95A 4.6mOhm N-channel mosfet"
"Q4","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","6.2110","-19.8000","0","100V 95A 4.6mOhm N-channel mosfet"
"Q3","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","-16.5000","-13.4890","90","100V 95A 4.6mOhm N-channel mosfet"
"Q2","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","-6.3000","-20.8780","90","100V 95A 4.6mOhm N-channel mosfet"
"Q1","HYG053N10NS1C2","TopLayer","PDFN5*6-8L","-6.3000","-13.4890","90","100V 95A 4.6mOhm N-channel mosfet"
"L1","CYA0630-10UH","TopLayer","CYA0630-10UH","-12.0000","-47.4000","0","SMD Power inductio, 10uH 4A"
"D9","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","-0.6000","-12.8500","180","TVS DIODE 15V 1005"
"D8","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","-0.6000","-17.4500","180","TVS DIODE 15V 1005"
"D7","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","-0.6000","-22.0500","180","TVS DIODE 15V 1005"
"D6","B1100-13-F","TopLayer","DIOD-SMA-2_V","-19.0000","-44.8000","0","Schottky Barrier Rectifier, 100 V, 1 A, -65 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel"
"D5","SK1010C","TopLayer","FP-SMC-MFG","6.2000","-13.7000","0","DIODE SCHOTTKY 100V 10A SMC"
"D4","B1100-13-F","TopLayer","DIOD-SMA-2_V","-5.1000","-37.0000","270","Schottky Barrier Rectifier, 100 V, 1 A, -65 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel"
"D3","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","21.2000","-9.0036","90","TVS DIODE 15V 1005"
"D2","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","24.6750","-9.6250","270","TVS DIODE 15V 1005"
"D1","LXES15AAA1-133","TopLayer","FP-LXES15-IPC_A","24.6750","-11.8750","90","TVS DIODE 15V 1005"
"CN2","MAX MX15EDGVM-3.81-16P-GN01-Cu-A","TopLayer","MAX_MX15EDGVM-3.81-16P-GN01-Cu-A","0.0000","0.0000","0","Board connector for 16 pin pluggable screw terminal"
"CN1","XKB U262-161N-4BVC11","TopLayer","XKB_U262-161N-4BVC11","32.8300","-10.3900","90","USB Type-C connector, USB-2.0, 16 pins"
"C32","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","31.0500","-44.7750","90","CAP CER 1UF 50V X5R 0603"
"C31","CL31A226KPHNNNE","TopLayer","FP-CL31-IPC_B","33.3750","-43.9000","90","Cap Ceramic 22uF 10V X5R ±10% SMD 1206"
"C30","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","31.0500","-41.5000","270","CAP CER 1UF 50V X5R 0603"
"C29","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","6.3000","-27.6000","180","CAP CER 1UF 50V X5R 0603"
"C28","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-5.9000","-50.1000","0","CAP CER 1UF 50V X5R 0603"
"C27","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-5.9000","-48.3000","0","CAP CER 1UF 50V X5R 0603"
"C26","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-5.9000","-46.5000","0","CAP CER 1UF 50V X5R 0603"
"C25","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-5.9000","-42.9000","180","CAP CER 1UF 50V X5R 0603"
"C24","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-5.9000","-44.7000","0","CAP CER 1UF 50V X5R 0603"
"C23","CL10B104KC8NNNC","TopLayer","FP-CL10-IPC_A","-17.4270","-42.2000","0","Cap Ceramic 100nF 100V X7R ±10% Pad SMD 0603 +125°C T/R"
"C22","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","3.7270","-50.4000","180","CAP CER 1UF 50V X5R 0603"
"C21","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-1.7000","-50.4000","0","CAP CER 1UF 50V X5R 0603"
"C20","AC0603KRX7R0BB473","TopLayer","FP-AC0603-IPC_B","-12.8000","-38.5000","270","CAP CER 0.047UF 100V X7R 0603"
"C19","CL10B104KC8NNNC","TopLayer","FP-CL10-IPC_A","-10.9000","-35.6000","270","Cap Ceramic 100nF 100V X7R ±10% Pad SMD 0603 +125°C T/R"
"C18","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-8.5000","-36.4000","270","CAP CER 10UF 63V X7R 1210"
"C17","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-31.8000","-17.2000","180","CAP CER 10UF 63V X7R 1210"
"C16","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-31.8000","-14.3000","180","CAP CER 10UF 63V X7R 1210"
"C15","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-31.8000","-23.1000","180","CAP CER 10UF 63V X7R 1210"
"C14","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-31.8000","-20.2000","180","CAP CER 10UF 63V X7R 1210"
"C13","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-12.8000","-35.4000","90","CAP CER 1UF 50V X5R 0603"
"C12","CL10B104KC8NNNC","TopLayer","FP-CL10-IPC_A","-25.8000","-33.1000","180","Cap Ceramic 100nF 100V X7R ±10% Pad SMD 0603 +125°C T/R"
"C11","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-21.6000","-17.3000","180","CAP CER 10UF 63V X7R 1210"
"C10","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-21.6000","-14.4000","180","CAP CER 10UF 63V X7R 1210"
"C9","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-21.6000","-23.1000","180","CAP CER 10UF 63V X7R 1210"
"C8","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-21.6000","-20.2000","180","CAP CER 10UF 63V X7R 1210"
"C7","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-11.5000","-41.6000","45","CAP CER 1UF 50V X5R 0603"
"C6","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-13.9000","-41.6000","45","CAP CER 1UF 50V X5R 0603"
"C5","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-11.4000","-20.1890","180","CAP CER 10UF 63V X7R 1210"
"C4","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-11.4000","-23.0890","180","CAP CER 10UF 63V X7R 1210"
"C3","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-11.4000","-17.2890","180","CAP CER 10UF 63V X7R 1210"
"C2","GRM32ER71J106KA12L","TopLayer","FP-GRM32E-0_2-0_3-MFG","-11.4000","-14.3890","180","CAP CER 10UF 63V X7R 1210"
"C1","CL10A105KB8NNNC","TopLayer","FP-CL10B105KO8NNNC-IPC_B","-25.2270","-40.5000","180","CAP CER 1UF 50V X5R 0603"
